what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1486444833095
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1486444833095
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1486444833095
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1486444833095
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1486444833095
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1486444833095
os,sysinfo,,,"win32",1486444833095
arch,sysinfo,,,"x86",1486444833095
ws,sysinfo,,,"win32",1486444833095
locale,sysinfo,,,"en_US",1486444833095
processors,sysinfo,,,"4",1486444833095
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1486444833095
java.runtime.version,sysinfo,,,"1.7.0_80-b15",1486444833095
java.specification.name,sysinfo,,,"Java Platform API Specification",1486444833095
java.specification.vendor,sysinfo,,,"Oracle Corporation",1486444833095
java.specification.version,sysinfo,,,"1.7",1486444833095
java.vendor,sysinfo,,,"Oracle Corporation",1486444833095
java.version,sysinfo,,,"1.7.0_80",1486444833095
java.vm.info,sysinfo,,,"mixed mode, sharing",1486444833095
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1486444833095
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1486444833095
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1486444833095
java.vm.specification.version,sysinfo,,,"1.7",1486444833095
java.vm.vendor,sysinfo,,,"Oracle Corporation",1486444833095
java.vm.version,sysinfo,,,"24.80-b11",1486444833095
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1486444835045
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1486444835060
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1486444835076
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486444839057
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486444850966
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486444852032
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486444852828
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486444852859
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486444854263
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486444854326
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1486444854716
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1486444854872
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1486444854872
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1486444854872
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1486444854872
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1486444854872
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1486444854872
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1486444854872
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1486444854872
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1486444854872
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1486444854935
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1486444855018
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1486444855096
